locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
15246	b1124	1	7023	1182049	1182843	-	potC	spermidine/putrescine ABC transporter membrane protein (NCBI)	0.5019	28	TRUE
15247	b1125	1	7023	1182840	1183667	-	potB	spermidine/putrescine ABC transporter membrane protein (NCBI)	0.5085	31	TRUE
15248	b1126	1	7023	1183681	1184817	-	potA	putrescine/spermidine ABC transporter ATPase protein (NCBI)	0.5084	26	TRUE
15249	b1127	1	7023	1185067	1186293	+	pepT	peptidase T (NCBI)	0.4988	44	TRUE
15250	b1128	1	7023	1186342	1187463	-	ycfD	orf, hypothetical protein (VIMSS)	0.5401	29	TRUE
15251	b1129	1	7023	1187539	1188999	-	phoQ	sensory histidine kinase in two-compoent regulatory system with PhoP (NCBI)	0.5133	48	TRUE
15252	b1130	1	7023	1188999	1189670	-	phoP	DNA-binding response regulator in two-component regulatory system with PhoQ (NCBI)	0.4777	28	TRUE
15253	b1131	1	7023	1189839	1191209	-	purB	adenylosuccinate lyase (NCBI)	0.523	43	FALSE
15254	b1132	1	7023	1191213	1191854	-	hflD	hypothetical protein (NCBI)	0.5717	13	TRUE
15255	b1133	1	7023	1191890	1192996	-	ycfB	orf, hypothetical protein (VIMSS)	0.5375	31	FALSE
15256	b1134	1	7023	1193050	1193511	-	ymfB	bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase (NCBI)	0.5022	14	TRUE
15257	b1135	1	7023	1193521	1194174	-	ymfC	orf, hypothetical protein (VIMSS)	0.5122	21	TRUE
15258	b1136	1	7023	1194346	1195596	+	icd	isocitrate dehydrogenase (NCBI)	0.502	39	FALSE
15259	b1137	1	7023	1196090	1196755	-	ymfD	e14 prophage; predicted SAM-dependent methyltransferase (NCBI)	0.3483	43	FALSE
15260	b1138	1	7023	1196756	1197460	-	ymfE	e14 prophage; predicted inner membrane protein (NCBI)	0.3092	60	TRUE
15261	b1139	1	7023	1197918	1198811	+	lit	e14 prophage; cell death peptidase, inhibitor of T4 late gene expression (NCBI)	0.368	48	TRUE
15262	b1140	1	7023	1198902	1200029	-	intE	e14 prophage; predicted integrase (NCBI)	0.4477	48	TRUE
15263	b1141	1	7023	1200010	1200255	-	ymfG	e14 prophage; predicted excisionase (NCBI)	0.4431	10	TRUE
15265	b1143	1	7023	1200720	1201061	+	ymfI	orf, hypothetical protein (VIMSS)	0.386	16	TRUE
15266	b1144	1	7023	1200999	1201307	-	ymfJ	orf, hypothetical protein (VIMSS)	0.4693	10	TRUE
15267	b1145	1	7023	1201482	1202156	-	ymfK	e14 prophage; repressor protein phage e14 (NCBI)	0.4444	27	FALSE
15268	b1146	1	7023	1202247	1202447	+	b1146	orf, hypothetical protein (VIMSS)	0.4279	9	FALSE
15269	b1147	1	7023	1202491	1203048	+	ymfL	e14 prophage; predicted DNA-binding transcriptional regulator (RefSeq)	0.4964	13	TRUE
15270	b1148	1	7023	1203045	1203383	+	ymfM	e14 prophage; predicted protein (NCBI)	0.4985	10	TRUE
7497344	b4692	7	7023	1203393	1203626	+	oweE		0.5427	7	TRUE
7497345	b4693	7	7023	1203627	1204760	+	aaaE		0.5432	29	TRUE
15272	b1150	1	7023	1204772	1204954	+	ymfR	e14 prophage; predicted protein (NCBI)	0.6011	4	TRUE
15273	b1151	7	7023	1204954	1205365	+	ymfO	e14 prophage; conserved protein (RefSeq)	0.5558	10	TRUE
15274	b1152	7	7023	1205366	1206145	+	ymfP	orf, hypothetical protein (VIMSS)	0.5782	21	TRUE
15275	b1153	1	7023	1206136	1206720	+	ymfQ	e14 prophage; conserved protein (NCBI)	0.5726	10	TRUE
15276	b1154	1	7023	1206724	1207353	+	ycfK	e14 prophage; predicted protein (NCBI)	0.5032	22	TRUE
15277	b1155	1	7023	1207355	1207768	+	ymfS	e14 prophage; predicted protein (NCBI)	0.4203	17	TRUE
15278	b1156	1	7023	1207740	1208342	-	tfaE	e14 prophage; predicted tail fiber assembly protein (NCBI)	0.4776	26	TRUE
5752726	b1157	7	7023	1208342	1208842	-	stfE		0.4671	23	TRUE
15280	b1158	1	7023	1208908	1209462	+	pin	e14 prophage; site-specific DNA recombinase (NCBI)	0.4883	10	TRUE
15281	b1159	1	7023	1209569	1210402	+	mcrA	e14 prophage; 5-methylcytosine-specific restriction endonuclease B (NCBI)	0.3837	51	TRUE
1936422	b4519	7	7023	1210636	1210800	+	icdC		0.4667	5	TRUE
15282	b1160	1	7023	1210903	1211226	-	elbA	hypothetical protein (NCBI)	0.3395	30	TRUE
15283	b1161	1	7023	1211926	1212330	-	ycgX	hypothetical protein (NCBI)	0.3679	28	TRUE
15284	b1162	1	7023	1212551	1213282	-	ycgE	predicted DNA-binding transcriptional regulator (NCBI)	0.4877	23	TRUE
15285	b1163	1	7023	1213487	1214698	-	ycgF	predicted FAD-binding phosphodiesterase (NCBI)	0.4356	52	TRUE
15286	b1164	1	7023	1215012	1215248	+	ycgZ	hypothetical protein (NCBI)	0.4177	6	TRUE
15287	b1165	1	7023	1215291	1215563	+	ymgA	hypothetical protein (NCBI)	0.37	14	TRUE
15288	b1166	1	7023	1215592	1215858	+	ymgB	hypothetical protein (NCBI)	0.3483	18	FALSE
15289	b1167	1	7023	1215971	1216219	+	ymgC	hypothetical protein (NCBI)	0.3574	17	TRUE
15290	b1168	1	7023	1216551	1218074	+	b1168	putative proteases (VIMSS)	0.4462	74	TRUE
1936424	b4520	1	7023	1218206	1218424	+	ymgF	hypothetical protein (NCBI)	0.4018	11	TRUE
1936425	b4491	7	7023	1218824	1221471	+	ycgH		0.4328	153	TRUE
15293	b1171	1	7023	1221528	1221857	-	b1171	orf, hypothetical protein (VIMSS)	0.4515	11	TRUE
15294	b1172	1	7023	1221867	1222211	-	ymgG	conserved protein, UPF0757 family (RefSeq)	0.5217	10	TRUE
3446170	b4593	1	7023	1222213	1222386	-	ymgI	hypothetical protein (RefSeq)	0.3218	12	TRUE
3446171	b4594	1	7023	1222487	1222672	+	ymgJ	hypothetical protein (RefSeq)	0.3817	11	TRUE
1936428	b4521	7	7023	1222787	1223130	+	ycgI	hypothetical protein (NCBI)	0.5029	17	TRUE
15296	b1174	1	7023	1223502	1223768	-	minE	cell division topological specificity factor MinE (NCBI)	0.4345	11	FALSE
15297	b1175	1	7023	1223772	1224584	-	minD	membrane ATPase of the MinC-MinD-MinE system (NCBI)	0.4994	34	TRUE
15298	b1176	1	7023	1224608	1225303	-	minC	septum formation inhibitor (NCBI)	0.5101	22	TRUE
15299	b1177	1	7023	1225823	1226191	+	ycgJ	hypothetical protein (NCBI)	0.4228	14	TRUE
15300	b1178	1	7023	1226294	1226695	-	ycgK	hypothetical protein (NCBI)	0.4303	21	TRUE
15301	b1179	1	7023	1226937	1227230	+	ycgL	conserved protein (NCBI)	0.4388	10	TRUE
15302	b1180	1	7023	1227302	1227961	+	ycgM	predicted isomerase/hydrolase (NCBI)	0.5197	19	TRUE
15303	b1181	1	7023	1228038	1228499	+	ycgN	conserved protein (RefSeq)	0.4762	15	TRUE
15304	b1182	1	7023	1228706	1229617	-	hlyE	hemolysin E (VIMSS)	0.4112	43	TRUE
15305	b1183	1	7023	1229990	1230409	+	umuD	DNA polymerase V, subunit D (NCBI)	0.481	19	TRUE
15306	b1184	1	7023	1230409	1231677	+	umuC	DNA polymerase V subunit UmuC (NCBI)	0.5099	39	TRUE
15307	b1185	1	7023	1231723	1232253	-	dsbB	reoxidizes DsbA protein following formation of disulfide bond in P-ring of flagella. (VIMSS)	0.5273	19	TRUE
15308	b1186	1	7023	1232399	1233940	-	nhaB	NhaB sodium/proton transporter (Katherine Huang)	0.5285	47	TRUE
15309	b1187	1	7023	1234161	1234880	+	fadR	fatty acid metabolism regulator (NCBI)	0.5125	30	TRUE
15310	b1188	1	7023	1234932	1236464	-	ycgB	hypothetical protein (NCBI)	0.4984	65	TRUE
15311	b1189	1	7023	1236794	1238092	+	dadA	D-amino acid dehydrogenase small subunit (NCBI)	0.5627	38	TRUE
15312	b1190	1	7023	1238102	1239172	+	dadX	alanine racemase (NCBI)	0.5798	35	TRUE
15313	b1191	1	7023	1239558	1241294	-	b1191	orf, hypothetical protein (VIMSS)	0.5233	58	TRUE
15314	b1192	1	7023	1241389	1242303	-	ldcA	L,D-carboxypeptidase A (NCBI)	0.5301	27	TRUE
15315	b1193	1	7023	1242403	1243014	+	mltE	murein transglycosylase E (VIMSS)	0.5196	20	FALSE
15316	b1194	1	7023	1243016	1243750	-	ycgR	protein involved in flagellar function (NCBI)	0.5075	25	TRUE
15317	b1195	1	7023	1243951	1244205	+	ymgE	predicted inner membrane protein (NCBI)	0.5333	7	TRUE
15318	b1196	1	7023	1244383	1244823	+	ycgY	hypothetical protein (NCBI)	0.415	23	TRUE
15319	b1197	1	7023	1244902	1246599	-	treA	periplasmic trehalase (NCBI)	0.523	51	TRUE
15320	b1198	1	7023	1246919	1248337	-	dhaM	fused predicted dihydroxyacetone-specific PTS enzymes: HPr component/EI component (RefSeq)	0.5018	56	TRUE
15321	b1199	1	7023	1248348	1248980	-	dhaL	dihydroxyacetone kinase, C-terminal domain (NCBI)	0.5355	21	TRUE
15322	b1200	1	7023	1248991	1250061	-	b1200	putative dihydroxyacetone kinase (EC 2.7.1.2) (VIMSS)	0.5303	36	TRUE
15323	b1201	1	7023	1250289	1252208	+	b1201	putative sensor-type regulator (VIMSS)	0.5146	64	TRUE
15324	b1202	1	7023	1252308	1255175	-	ycgV	predicted adhesin (NCBI)	0.4979	127	TRUE
15325	b1203	1	7023	1255944	1257035	-	ychF	translation-associated GTPase (NCBI)	0.5101	23	FALSE
15326	b1204	1	7023	1257152	1257736	-	pth	peptidyl-tRNA hydrolase (NCBI)	0.4974	21	FALSE
15327	b1205	1	7023	1258014	1258292	+	ychH	predicted inner membrane protein (NCBI)	0.5305	11	TRUE
15328	b1206	1	7023	1258347	1260026	-	ychM	orf, hypothetical protein (VIMSS)	0.5464	50	TRUE
15329	b1207	1	7023	1260151	1261098	-	prsA	ribose-phosphate pyrophosphokinase (NCBI)	0.5253	33	FALSE
15330	b1208	1	7023	1261249	1262100	-	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (NCBI)	0.534	20	FALSE
15331	b1209	1	7023	1262100	1262723	-	lolB	outer membrane lipoprotein LolB precursor (NCBI)	0.5144	22	FALSE
15332	b1210	1	7023	1262937	1264193	+	hemA	glutamyl-tRNA reductase (NCBI)	0.5434	35	FALSE
15333	b1211	1	7023	1264235	1265317	+	prfA	peptide chain release factor 1 (NCBI)	0.53	35	FALSE
15334	b1212	1	7023	1265317	1266150	+	prmC	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase (NCBI)	0.5516	23	FALSE
15335	b1213	1	7023	1266147	1266539	+	ychQ	predicted transcriptional regulator (NCBI)	0.4758	18	TRUE
15336	b1214	1	7023	1266543	1267352	+	ychA	predicted transcriptional regulator (NCBI)	0.4642	32	TRUE
15337	b1215	1	7023	1267388	1268242	+	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (NCBI)	0.5158	19	FALSE
1936439	b4419	1	7023	1268391	1268498	-	ldrA	toxic polypeptide, small (NCBI)	0.5556	3	FALSE
1936440	b4420	6	7023	1268546	1268612	+	rdlA	regulatory antisense RNA (NCBI)	0.5224	2	FALSE
1936441	b4421	1	7023	1268926	1269033	-	ldrB	toxic polypeptide, small (NCBI)	0.5833	3	FALSE
1936442	b4422	6	7023	1269081	1269146	+	rdlB	regulatory antisense sRNA (NCBI)	0.5	2	FALSE
1936443	b4423	1	7023	1269461	1269568	-	ldrC	toxic polypeptide, small (NCBI)	0.5556	3	FALSE
1936444	b4424	6	7023	1269616	1269683	+	rdlC	regulatory antisense sRNA (NCBI)	0.4853	2	FALSE
15338	b1216	1	7023	1269972	1271072	-	chaA	calcium/sodium:proton antiporter (NCBI)	0.4877	47	TRUE
15339	b1217	1	7023	1271342	1271572	+	chaB	cation transport regulator (NCBI)	0.4545	10	TRUE
15340	b1218	1	7023	1271730	1272425	+	chaC	regulatory protein for cation transport (RefSeq)	0.5474	15	TRUE
15341	b1219	1	7023	1272469	1272822	-	ychN	hypothetical protein (NCBI)	0.5169	10	TRUE
15342	b1220	1	7023	1273007	1274401	+	ychO	predicted invasin (RefSeq)	0.5054	49	TRUE
15343	b1221	1	7023	1274402	1275052	-	narL	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ) (NCBI)	0.5177	23	TRUE
15344	b1222	1	7023	1275045	1276841	-	narX	sensory histidine kinase in two-component regulatory system with NarL (NCBI)	0.5337	51	TRUE
15345	b1223	1	7023	1277180	1278571	+	narK	nitrate/nitrite transporter (NCBI)	0.5366	34	TRUE
15346	b1224	1	7023	1279087	1282830	+	narG	nitrate reductase 1, alpha subunit (NCBI)	0.5494	103	TRUE
15347	b1225	1	7023	1282827	1284365	+	narH	nitrate reductase 1, beta (Fe-S) subunit (NCBI)	0.5374	48	TRUE
15348	b1226	1	7023	1284362	1285072	+	narJ	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1 (NCBI)	0.564	12	TRUE
15349	b1227	1	7023	1285072	1285749	+	narI	nitrate reductase 1, gamma (cytochrome b(NR)) subunit (NCBI)	0.559	14	TRUE
1936445	b4425	6	7023	1286289	1286459	-	rttR	regulatory sRNA (NCBI)	0.5789	3	FALSE
15351	b1229	1	7023	1286310	1286399	-	tpr	predicted protamine-like protein (RefSeq)	0.6444	0	FALSE
1936446	b1230	5	7023	1286467	1286551	-	tyrV	tRNA-Tyr (NCBI)	0.5882	1	FALSE
1936447	b1231	5	7023	1286761	1286845	-	tyrT	tRNA-Tyr (NCBI)	0.5882	1	TRUE
15352	b1232	1	7023	1287005	1287847	-	purU	formyltetrahydrofolate deformylase (NCBI)	0.4721	34	TRUE
15353	b1233	1	7023	1287897	1288355	-	ychJ	hypothetical protein (NCBI)	0.4641	16	TRUE
15354	b1234	1	7023	1288468	1289373	+	rssA	conserved protein (RefSeq)	0.5022	31	TRUE
15355	b1235	1	7023	1289465	1290478	+	rssB	response regulator of RpoS (NCBI)	0.4862	41	TRUE
15356	b1236	1	7023	1290680	1291588	+	galU	glucose-1-phosphate uridylyltransferase (NCBI)	0.4697	38	TRUE
15357	b1237	1	7023	1291732	1292145	-	hns	global DNA-binding transcriptional dual regulator H-NS (NCBI)	0.4662	15	FALSE
15358	b1238	1	7023	1292750	1293367	+	tdk	thymidine kinase (NCBI)	0.4223	34	TRUE
1936448	b4573	7	7023	1293649	1294215	-	insZ		0.5291	18	TRUE
15361	b1241	1	7023	1294669	1297344	-	adhE	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase (NCBI)	0.5064	86	TRUE
15362	b1242	1	7023	1297821	1298468	+	ychE	predicted inner membrane protein (NCBI)	0.4784	28	TRUE
15363	b1243	1	7023	1299206	1300837	+	oppA	oligopeptide transporter subunit (NCBI)	0.4773	67	TRUE
15364	b1244	1	7023	1300923	1301843	+	oppB	oligopeptide permease ABC transporter membrane protein (NCBI)	0.4571	51	TRUE
15365	b1245	1	7023	1301858	1302766	+	oppC	oligopeptide transporter subunit (NCBI)	0.5237	27	TRUE
1936449	b1246	1	7023	1302778	1303791	+	oppD	oligopeptide transporter ATP-binding component (NCBI)	0.5178	28	TRUE
15367	b1247	1	7023	1303788	1304792	+	oppF	oligopeptide transporter subunit (NCBI)	0.5154	31	TRUE
15368	b1248	1	7023	1304845	1305174	-	b1248	orf, hypothetical protein (VIMSS)	0.4727	4	TRUE
15369	b1249	1	7023	1305209	1306669	-	cls	cardiolipin synthetase (NCBI)	0.5168	53	TRUE
3446172	b4595	1	7023	1306812	1306985	+	yciY	hypothetical protein (RefSeq)	0.5057	7	TRUE
15370	b1250	1	7023	1307040	1308293	-	kch	voltage-gated potassium channel (NCBI)	0.4234	55	TRUE
15371	b1251	1	7023	1308593	1308889	-	yciI	orf, hypothetical protein (VIMSS)	0.4882	11	TRUE
15372	b1252	1	7023	1309113	1309832	+	tonB	membrane spanning protein in TonB-ExbB-ExbD complex (NCBI)	0.5444	22	TRUE
15373	b1253	1	7023	1309872	1310270	-	yciA	predicted hydrolase (NCBI)	0.4837	18	TRUE
15374	b1254	1	7023	1310375	1310914	-	yciB	intracellular septation protein A (NCBI)	0.4648	22	FALSE
15375	b1255	1	7023	1310944	1311687	-	yciC	hypothetical protein (NCBI)	0.4933	29	TRUE
15376	b1256	1	7023	1312044	1312682	+	ompW	outer membrane protein W (NCBI)	0.5008	27	TRUE
15377	b1257	1	7023	1312742	1313248	-	yciE	hypothetical protein (NCBI)	0.4063	24	TRUE
15378	b1258	1	7023	1313294	1313794	-	yciF	hypothetical protein (NCBI)	0.4311	14	TRUE
15379	b1259	1	7023	1313880	1314059	-	yciG	orf, hypothetical protein (VIMSS)	0.5111	6	TRUE
15380	b1260	1	7023	1314440	1315246	-	trpA	tryptophan synthase subunit alpha (NCBI)	0.5353	19	TRUE
15381	b1261	1	7023	1315246	1316439	-	trpB	tryptophan synthase subunit beta (NCBI)	0.5469	31	TRUE
15382	b1262	1	7023	1316451	1317809	-	trpC	N-(5-phosphoribosyl)anthranilate isomerase and indole-3-glycerolphosphate synthetase (VIMSS)	0.5283	43	TRUE
15383	b1263	1	7023	1317813	1319408	-	trpD	bifunctional indole-3-glycerol-phosphate synthase/anthranilate phosphoribosyltransferase (NCBI)	0.5639	42	TRUE
15384	b1264	1	7023	1319408	1320970	-	trpE	anthranilate synthase component I (NCBI)	0.5438	44	TRUE
15385	b1265	1	7023	1321062	1321106	-	trpL	trp operon leader peptide (NCBI)	0.4444	1	FALSE
15386	b1266	1	7023	1321244	1322125	+	yciV	hypothetical protein (NCBI)	0.5408	20	TRUE
15387	b1267	1	7023	1322122	1322742	+	yciO	orf, hypothetical protein (VIMSS)	0.4815	24	FALSE
15388	b1268	1	7023	1322770	1324665	+	yciQ	predicted inner membrane protein (NCBI)	0.4699	93	TRUE
15389	b1269	1	7023	1324876	1325751	+	rluB	23S rRNA pseudouridylate synthase (NCBI)	0.5377	23	TRUE
15390	b1270	1	7023	1325791	1326381	-	btuR	cob(I)yrinic acid a,c-diamide adenosyltransferase (NCBI)	0.5025	22	TRUE
15391	b1271	1	7023	1326378	1327136	-	yciK	short chain dehydrogenase (NCBI)	0.5244	23	TRUE
15392	b1272	1	7023	1327356	1328405	+	sohB	predicted inner membrane peptidase (NCBI)	0.5057	31	TRUE
15393	b1273	1	7023	1328441	1328692	-	yciN	hypothetical protein (NCBI)	0.4722	8	TRUE
15394	b1274	1	7023	1329072	1331669	+	topA	DNA topoisomerase I (NCBI)	0.5177	79	FALSE
15395	b1275	1	7023	1331879	1332853	+	cysB	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding (NCBI)	0.4831	43	FALSE
1936456	b4522	1	7023	1333184	1333312	+	yciX_1	hypothetical protein (NCBI)	0.4961	2	TRUE
1936457	b4523	1	7023	1333315	1333482	+	yciX	hypothetical protein (RefSeq)	0.4583	6	TRUE
15396	b1276	1	7023	1333855	1336530	+	acnA	aconitate hydratase (NCBI)	0.5291	91	TRUE
15397	b1277	1	7023	1336594	1337184	-	ribA	GTP cyclohydrolase II protein (NCBI)	0.5008	23	FALSE
15398	b1278	1	7023	1337354	1338118	+	pgpB	phosphatidylglycerophosphatase B (NCBI)	0.5059	21	TRUE
15399	b1279	1	7023	1338267	1338575	+	yciS	conserved inner membrane protein (NCBI)	0.5016	10	TRUE
15400	b1280	1	7023	1338582	1339751	+	yciM	hypothetical protein (NCBI)	0.5188	44	FALSE
15401	b1281	1	7023	1339945	1340682	+	pyrF	orotidine 5'-phosphate decarboxylase (NCBI)	0.5298	12	TRUE
15402	b1282	1	7023	1340682	1341008	+	yciH	orf, hypothetical protein (VIMSS)	0.4985	13	TRUE
15403	b1283	1	7023	1341134	1341352	-	osmB	lipoprotein (NCBI)	0.5205	9	TRUE
15404	b1284	1	7023	1341621	1342370	-	yciT	predicted DNA-binding transcriptional regulator (NCBI)	0.488	22	TRUE
3446173	b4596	1	7023	1342460	1342633	-	yciZ	hypothetical protein (RefSeq)	0.477	9	TRUE
15405	b1285	1	7023	1342781	1344766	-	gmr	modulator of Rnase II stability (NCBI)	0.4849	70	TRUE
7497346	b4672	1	7023	1344820	1344924	+	ymiB	expressed protein (RefSeq)	0.3048	7	FALSE
15406	b1286	1	7023	1345002	1346936	-	rnb	exoribonuclease II (NCBI)	0.5323	39	TRUE
15407	b1287	1	7023	1347004	1348131	-	yciW	putative oxidoreductase (VIMSS)	0.508	40	TRUE
15408	b1288	1	7023	1348275	1349063	-	fabI	enoyl-(acyl carrier protein) reductase (NCBI)	0.5323	22	FALSE
15409	b1289	1	7023	1349431	1349784	-	ycjD	hypothetical protein (NCBI)	0.4972	10	TRUE
15410	b1290	1	7023	1349852	1350658	-	sapF	predicted antimicrobial peptide transporter subunit (NCBI)	0.5118	28	TRUE
15411	b1291	1	7023	1350660	1351652	-	sapD	predicted antimicrobial peptide transporter subunit (NCBI)	0.5136	27	TRUE
15412	b1292	1	7023	1351652	1352542	-	sapC	predicted antimicrobial peptide transporter subunit (NCBI)	0.569	25	TRUE
15413	b1293	1	7023	1352529	1353494	-	sapB	predicted antimicrobial peptide transporter subunit (NCBI)	0.5145	29	TRUE
15414	b1294	1	7023	1353491	1355134	-	sapA	predicted antimicrobial peptide transporter subunit (NCBI)	0.5426	56	TRUE
15415	b1295	1	7023	1355447	1355692	-	ymjA	hypothetical protein (NCBI)	0.4837	7	TRUE
15416	b1296	1	7023	1355826	1357211	-	ycjJ	putative amino acid/amine transport protein (VIMSS)	0.5332	44	TRUE
15417	b1297	1	7023	1357514	1358932	-	b1297	putative glutamine synthetase (EC 6.3.1.2) (VIMSS)	0.5349	41	TRUE
15418	b1298	1	7023	1359144	1359908	+	ycjL	probable amidotransferase subunit (VIMSS)	0.5229	23	TRUE
15419	b1299	1	7023	1359935	1360492	+	puuR	DNA-binding transcriptional repressor (NCBI)	0.509	21	TRUE
15420	b1300	1	7023	1360767	1362254	+	puuC	gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent (NCBI)	0.5733	27	TRUE
15421	b1301	1	7023	1362256	1363536	+	puuB	gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding (NCBI)	0.5824	37	TRUE
15422	b1302	1	7023	1363574	1364839	+	puuE	GABA aminotransferase, PLP-dependent (NCBI)	0.5766	33	TRUE
15423	b1303	1	7023	1364959	1365936	-	pspF	psp operon transcriptional activator (VIMSS)	0.5174	24	TRUE
15424	b1304	1	7023	1366103	1366771	+	pspA	regulatory protein for phage-shock-protein operon (NCBI)	0.4933	10	TRUE
15425	b1305	1	7023	1366825	1367049	+	pspB	phage shock protein B (NCBI)	0.4756	7	TRUE
15426	b1306	1	7023	1367049	1367408	+	pspC	DNA-binding transcriptional activator (NCBI)	0.5028	9	TRUE
15427	b1307	1	7023	1367417	1367638	+	pspD	peripheral inner membrane phage-shock protein (NCBI)	0.545	9	TRUE
15428	b1308	1	7023	1367713	1368027	+	pspE	thiosulfate:cyanide sulfurtransferase (rhodanese) (NCBI)	0.5079	7	TRUE
15429	b1309	1	7023	1368240	1369919	+	ycjM	putative polysaccharide hydrolase (VIMSS)	0.4387	81	TRUE
15430	b1310	1	7023	1369933	1371225	+	ycjN	predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily (NCBI)	0.5004	47	TRUE
15431	b1311	1	7023	1371246	1372127	+	ycjO	predicted sugar transporter subunit: membrane component of ABC superfamily (NCBI)	0.5363	30	TRUE
15432	b1312	1	7023	1372114	1372956	+	ycjP	predicted sugar transporter subunit: membrane component of ABC superfamily (NCBI)	0.5279	22	TRUE
15433	b1313	1	7023	1372987	1374039	+	ycjQ	predicted oxidoreductase, Zn-dependent and NAD(P)-binding (NCBI)	0.5575	28	TRUE
15434	b1314	1	7023	1374058	1374846	+	b1314	putative transient receptor potential locus (VIMSS)	0.5361	29	TRUE
15435	b1315	1	7023	1374856	1375911	+	ycjS	predicted oxidoreductase, NADH-binding (NCBI)	0.5473	26	TRUE
15436	b1316	1	7023	1375908	1378175	+	ycjT	predicted hydrolase (NCBI)	0.5375	64	TRUE
15437	b1317	1	7023	1378172	1378831	+	ycjU	predicted beta-phosphoglucomutase (NCBI)	0.5652	13	TRUE
1936466	b4524	7	7023	1378845	1379926	+	ycjV		0.4908	34	TRUE
15439	b1319	1	7023	1379971	1380876	+	ompG	outer membrane porin (NCBI)	0.4989	41	TRUE
15440	b1320	1	7023	1380987	1381985	-	ycjW	predicted DNA-binding transcriptional regulator (NCBI)	0.4545	41	TRUE
15441	b1321	1	7023	1382141	1383538	+	ycjX	conserved protein with nucleoside triphosphate hydrolase domain (NCBI)	0.5443	43	TRUE
15442	b1322	1	7023	1383535	1384596	+	ycjF	hypothetical protein (NCBI)	0.5631	26	TRUE
15443	b1323	1	7023	1384744	1386285	+	tyrR	DNA-binding transcriptional dual regulator, tyrosine-binding (NCBI)	0.5214	44	TRUE
15444	b1324	1	7023	1386329	1386835	-	tpx	thiol peroxidase (NCBI)	0.5128	13	TRUE
15445	b1325	1	7023	1386954	1387919	+	ycjG	putative muconate cycloisomerase I (EC 5.5.-.-) (VIMSS)	0.5466	28	TRUE
15446	b1326	1	7023	1387894	1388622	-	mpaA	murein peptide amidase A (RefSeq)	0.5487	13	TRUE
1936468	b4525	7	7023	1388749	1388886	-	ymjC		0.413	5	FALSE
7497347	b4673	7	7023	1388892	1388957	-	ymjD		0.3636	5	FALSE
15447	b1327	1	7023	1388957	1389877	-	ycjY	predicted hydrolase (RefSeq)	0.4799	41	TRUE
